持	 ug#用#序49152
ァネ	lane#次#序16350
ぁに	lani#类1#序15063
ァニ	lani#次#序16352
ぁん	lann#类1#序15039
ァン	lann#次#序16328
ぁの	lano#类1#序15060
ァノ	lano#次#序16349
世馴	lano#类4#序14829
世直	lanq#类4#序14822
世才	lant#类4#序14821
ぁぬ	lanu#类1#序15062
ァヌ	lanu#次#序16351
ぁにゃ	lanv#类1#序15004
ァニャ	lanv#次#序16293
ぁにょ	lanx#类1#序15002
ァニョ	lanx#次#序16291
貰	laob#类3#序26787
世智	laod#类4#序14798
世知	laod#类4#序14799
世間知	laod#类4#序14592
ぁお	laoo#类1#序15080
ァオ	laoo#次#序16369
ぁぱ	lapa#类1#序15018
ァパ	lapa#次#序16307
ぁぴゅ	lapc#类1#序14979
ァピュ	lapc#次#序16268
ぁぺ	lape#类1#序15015
ァペ	lape#次#序16304
ぁぴ	lapi#类1#序15017
ァピ	lapi#次#序16306
ぁぽ	lapo#类1#序15014
ァポ	lapo#次#序16303
ぁぷ	lapu#类1#序15016
ァプ	lapu#次#序16305
ぁぴゃ	lapv#类1#序14980
ァピャ	lapv#次#序16269
ぁぴょ	lapx#类1#序14978
ァピョ	lapx#次#序16267
世界	laqj#类4#序14809
藕	laqv#类3#序27083
ぁら	lara#类1#序15049
ァラ	lara#次#序16338
ぁりゅ	larc#类1#序14994
ァリュ	larc#次#序16283
ぁれ	lare#类1#序15046
ァレ	lare#次#序16335
荘園	larg#类4#序14596
ぁり	lari#类1#序15048
ァリ	lari#次#序16337
ぁろ	laro#类1#序15045
ァロ	laro#次#序16334
蒸籠	lart#类4#序15467
ぁる	laru#类1#序15047
ァル	laru#次#序16336
ぁりゃ	larv#类1#序14995
ァリャ	larv#次#序16284
ぁりょ	larx#类1#序14993
ァリョ	larx#次#序16282
ぁさ	lasa#类1#序15074
ァサ	lasa#次#序16363
世話	lasa#类4#序14778
世間話	lasa#类4#序14584
ぁしゅ	lasc#类1#序15009
ァシュ	lasc#次#序16298
ぁせ	lase#类1#序15071
ァセ	lase#次#序16360
世評	lase#类4#序14779
ぁし	lasi#类1#序15073
ァシ	lasi#次#序16362
世論	lasj#类4#序14777
ぁそ	laso#类1#序15070
ァソ	laso#次#序16359
ぁす	lasu#类1#序15072
ァス	lasu#次#序16361
ぁしゃ	lasv#类1#序15010
ァシャ	lasv#次#序16299
外来語	lasw#类4#序15703
蘭語	lasw#类4#序14585
ぁしょ	lasx#类1#序15008
ァショ	lasx#次#序16297
ぁた	lata#类1#序15069
ァタ	lata#次#序16358
ぁて	late#类1#序15066
ァテ	late#次#序16355
ぁと	lato#类1#序15065
ァト	lato#次#序16354
世襲	latt#类4#序14791
ぁつ	latu#类1#序15067
ァツ	latu#次#序16356
蒐集	laue#类4#序14660
藺	laui#类3#序26637
世捨	lauj#类4#序14802
蕎麦掻	laur#类4#序15224
ぁう	lauu#类1#序15082
ァウ	lauu#次#序16371
乖	lav#类3#序20650
ァヴァ	lava#次#序16256
蒸気	lavb#类4#序15469
ァヴェ	lave#次#序16254
埀	lavg#类3#序20613
ァヴィ	lavi#次#序16255
ァヴォ	lavo#次#序16253
ァヴ	lavu#次#序16257
菁	lavy#类3#序26976
ぁわ	lawa#类1#序15041
ァワ	lawa#次#序16330
ァウェ	lawe#次#序16251
ァウィ	lawi#次#序16252
外交家	lawj#类4#序15024
外交官	lawk#类4#序15023
ぁを	lawo#类1#序15040
ァヲ	lawo#次#序16329
蘭	laxh#类3#序26655
ぁゆ	layc#类1#序15043
ァユ	layc#次#序16332
世上	layf#类4#序14815
燕雀	layu#类4#序14597
ぁや	layv#类1#序15044
ァヤ	layv#次#序16333
ぁよ	layx#类1#序15042
ァヨ	layx#次#序16331
乖離	lazb#类4#序14265
蕭	lbaa#类3#序26634
芸妓	lbbc#类4#序15268
遊び女	lbbn#类5#序22728
茹	lbd#类3#序26633
芸無	lbel#类4#序15282
芸事	lbfd#类4#序15302
生殺与奪	lbfm#类4#序13356
遊び場	lbgo#类5#序22729
芸道	lbho#类4#序15270
遊び心	lbhx#类5#序22730
艾	lbi#类3#序26723
多面体	lbje#类4#序15818
芸人	lbjr#类4#序15263
遊び人	lbjr#类5#序22731
華氏温度計	lbks#类4#序14733
蒸留水	lbks#类4#序14734
芸能	lbkv#类4#序15313
芸名	lbld#类4#序15285
生ビール	lblr#类5#序24893
茆	lbm#类3#序26726
芸風	lbot#类4#序15289
苅	lbpd#类3#序26750
芸術	lbpe#类4#序15275
芸界	lbqj#类4#序15290
芸者	lbqo#类4#序15308
芝刈り機	lbre#类5#序22732
歯ブラシ	lbrs#类5#序24894
芸談	lbsc#类4#序15258
蕁	lbuk#类3#序26635
菷	lbwr#类3#序26630
蒻	lbww#类3#序26570
芸	lby#类3#序27029
芸当	lbyb#类4#序15296
ゅ	lc#类1#序15086
ュ	lc#次#序16376
丱	lc#类3#序22933
廾	lc#类3#序26952
歯	lc#类3#序24827
艸	lc#类3#序26402
齒	lc#类3#序24786
ュア	lcaa#次#序15477
歯痒	lcag#类4#序13866
苦悶	lcah#类4#序15364
苦痛	lcak#类4#序15369
苦闘	lcaz#类4#序15368
ュバ	lcba#次#序15416
ュビュ	lcbc#次#序15375
ュベ	lcbe#次#序15413
ュビ	lcbi#次#序15415
ュボ	lcbo#次#序15412
ュブ	lcbu#次#序15414
ュビャ	lcbv#次#序15376
ュビョ	lcbx#次#序15374
ュチュ	lccc#次#序15399
苦虫	lccc#类4#序15414
草履虫	lccc#类4#序14812
ュチ	lcci#次#序15461
千古不易	lcco#类4#序14705
ュチャ	lccv#次#序15400
ュチョ	lccx#次#序15398
名古屋	lccy#类4#序15836
薜	lcd#类3#序26790
ュダ	lcda#次#序15421
苦味	lcda#类4#序15412
ュヂュ	lcdc#次#序15378
ュデ	lcde#次#序15418
蘗	lcde#类3#序26789
ュヂ	lcdi#次#序15420
苦吟	lcdj#类4#序15411
歯噛	lcdl#类4#序13873
ュド	lcdo#次#序15417
ュヅ	lcdu#次#序15419
ュヂャ	lcdv#次#序15379
ュヂョ	lcdx#次#序15377
苦杯	lcec#类4#序15385
ュエ	lcee#次#序15474
蔚	lcf#类3#序26797
ュファ	lcfa#次#序15354
ュフェ	lcfe#次#序15352
ュフィ	lcfi#次#序15353
歯髄	lcfn#类4#序13870
ュフォ	lcfo#次#序15351
落ち武者	lcfq#类5#序22733
苦	lcg#类3#序27089
ュガ	lcga#次#序15431
ュギュ	lcgc#次#序15384
ュゲ	lcge#次#序15428
苦塩	lcge#类4#序15432
ュギ	lcgi#次#序15430
歯グキ	lcgk#类5#序24895
落ちゲー	lcgl#类5#序24896
ュゴ	lcgo#次#序15427
歯列	lcgp#类4#序13875
ュグ	lcgu#次#序15429
ュギャ	lcgv#次#序15385
ュギョ	lcgx#次#序15383
苦境	lcgx#类4#序15430
ュハ	lcha#次#序15452
苦情	lcha#类4#序15406
ュヒュ	lchc#次#序15393
歯並	lchc#类4#序13867
ュヘ	lche#次#序15449
ュヒ	lchi#次#序15451
苦悩	lchk#类4#序15404
ュホ	lcho#次#序15448
ュフ	lchu#次#序15450
ュヒャ	lchv#次#序15394
ュヒョ	lchx#次#序15392
苦心	lchx#类4#序15403
ュイ	lcii#次#序15476
ュザ	lcja#次#序15426
ュジュ	lcjc#次#序15381
ュゼ	lcje#次#序15423
ュジ	lcji#次#序15425
ュゾ	lcjo#次#序15422
ュズ	lcju#次#序15424
ュジャ	lcjv#次#序15382
ュジョ	lcjx#次#序15380
ュカ	lcka#次#序15472
ュキュ	lckc#次#序15405
ュケ	lcke#次#序15469
ュキ	lcki#次#序15471
苦汁	lckn#类4#序15422
ュコ	lcko#次#序15468
苦戦	lckq#类4#序15419
苦渋	lcks#类4#序15421
ュク	lcku#次#序15470
ュキャ	lckv#次#序15406
苦労	lckw#类4#序15418
苦学	lckw#类4#序15417
ュキョ	lckx#次#序15404
ュァ	lcla#次#序15370
ュュ	lclc#次#序15363
苦難	lcld#类4#序15446
ュェ	lcle#次#序15367
薬局方	lclf#类4#序14776
ュー	lclg#次#序15350
ュィ	lcli#次#序15369
ュッ	lcll#次#序15365
落ち葉	lcll#类5#序22734
ュォ	lclo#次#序15366
歯茎	lclr#类4#序13880
ュゥ	lclu#次#序15368
ュャ	lclv#次#序15364
ュョ	lclx#次#序15362
歯牙	lcly#类4#序13879
ュマ	lcma#次#序15447
ュミュ	lcmc#次#序15390
ュメ	lcme#次#序15444
ュミ	lcmi#次#序15446
花火大会	lcmj#类4#序14775
苦肉	lcmj#类4#序15407
ュモ	lcmo#次#序15443
葭	lcmr#类3#序26794
歯石	lcms#类4#序13877
ュム	lcmu#次#序15445
ュミャ	lcmv#次#序15391
ュミョ	lcmx#次#序15389
ュナ	lcna#次#序15457
ュニュ	lcnc#次#序15396
ュネ	lcne#次#序15454
ュニ	lcni#次#序15456
蔵屋敷	lcnl#类4#序14820
ュン	lcnn#次#序15432
ュノ	lcno#次#序15453
ュヌ	lcnu#次#序15455
ュニャ	lcnv#次#序15397
ュニョ	lcnx#次#序15395
ュオ	lcoo#次#序15473
ュパ	lcpa#次#序15411
ュピュ	lcpc#次#序15372
ュペ	lcpe#次#序15408
ュピ	lcpi#次#序15410
ュポ	lcpo#次#序15407
ュプ	lcpu#次#序15409
ュピャ	lcpv#次#序15373
ュピョ	lcpx#次#序15371
苦行	lcpx#类4#序15376
落ち物パズルゲーム	lcqm#类5#序24897
落ち目	lcqm#类5#序22735
ュラ	lcra#次#序15442
葭簀	lcra#类4#序14796
ュリュ	lcrc#次#序15387
ュレ	lcre#次#序15439
ュリ	lcri#次#序15441
苦節	lcri#类4#序15370
ュロ	lcro#次#序15438
歯切	lcrp#类4#序13878
苦笑	lcrt#类4#序15371
ュル	lcru#次#序15440
ュリャ	lcrv#次#序15388
ュリョ	lcrx#次#序15386
葭簾	lcrx#类4#序14793
ュサ	lcsa#次#序15467
ュシュ	lcsc#次#序15402
ュセ	lcse#次#序15464
ュシ	lcsi#次#序15466
歯止	lcsi#类4#序13874
ュソ	lcso#次#序15463
ュス	lcsu#次#序15465
ュシャ	lcsv#次#序15403
ュショ	lcsx#次#序15401
苦言	lcsy#类4#序15349
ュタ	lcta#次#序15462
苦衷	lctd#类4#序15352
ュテ	lcte#次#序15459
歯向	lctm#类4#序13869
ュト	lcto#次#序15458
ュツ	lctu#次#序15460
苦手	lcus#类4#序15389
ュウ	lcuu#次#序15475
ュヴァ	lcva#次#序15360
芝居気	lcvb#类4#序14803
ュヴェ	lcve#次#序15358
歯朶	lcve#类4#序13876
ュヴィ	lcvi#次#序15359
ュヴォ	lcvo#次#序15357
ュヴ	lcvu#次#序15361
葫	lcvy#类3#序27091
燕尾服	lcvz#类4#序14824
ュワ	lcwa#次#序15434
ュウェ	lcwe#次#序15355
ュウィ	lcwi#次#序15356
ュヲ	lcwo#次#序15433
苦寒	lcwq#类4#序15401
歯応	lcxh#类4#序13865
歯科	lcxj#类4#序13868
旅支度	lcxl#类4#序14834
落ち度	lcxl#类5#序22736
落ち穂	lcxn#类5#序22737
歯軋	lcya#类4#序13871
ュユ	lcyc#次#序15436
歯車	lcyc#类4#序13872
齷	lcyi#类3#序24783
ュヤ	lcyv#次#序15437
ュヨ	lcyx#次#序15435
苦慮	lczq#类4#序15426
名	ld#类3#序22095
動乱	ldaa#类4#序14112
難癖	ldac#类4#序14924
難問	ldad#类4#序14926
覲	ldae#类3#序26851
重病	ldaf#类4#序14082
重症	ldaf#类4#序14083
難病	ldaf#类4#序14927
懃	ldah#类3#序26852
難関	ldah#类4#序14922
重奏	ldai#类4#序14223
名将	ldal#类4#序15514
名状	ldam#类4#序15520
名門	ldam#类4#序15516
重責	ldao#类4#序14198
勤	ldas#类3#序26854
動静	ldav#类4#序14203
重版	ldax#类4#序14101
名刹	ldbe#类4#序15538
茹で卵	ldbl#类5#序22738
名君	ldbt#类4#序15511
難局	ldca#类4#序14943
重層	ldch#类4#序14147
萼	ldda#类3#序26842
蕚	ldda#类3#序26841
齶	ldda#类3#序24777
名器	lddd#类4#序15553
重患	lddd#类4#序14169
歡	ldde#类3#序26837
觀	ldde#类3#序26839
名号	lddf#类4#序15554
名吟	lddj#类4#序15551
難民	lddm#类4#序14945
動員	lddo#类4#序14165
重唱	lddo#类4#序14170
勸	ldds#类3#序26845
顴	lddw#类3#序26844
鸛	lddx#类3#序26840
名札	ldea#类4#序15530
動機	ldei#类4#序14113
名刺	ldem#类4#序15565
名木	ldem#类4#序15529
難事	ldfd#类4#序14960
重視	ldfe#类4#序14137
重刑	ldfl#类4#序14204
茣	ldfm#类3#序26855
動画	ldfq#类4#序14199
名画	ldfq#类4#序15566
名望	ldfv#类4#序15497
重曹	ldfy#类4#序14197
名声	ldgc#类4#序15568
歎声	ldgc#类4#序14963
名残	ldgf#类4#序15563
名高	ldgg#类4#序15499
名句	ldgj#类4#序15539
歎美	ldgm#类4#序14928
名士	ldgs#类4#序15569
名義	ldgt#类4#序15517
歎	ldhe#类3#序26859
艱	ldhi#类3#序26860
勤惰	ldhn#类4#序14944
名分	ldhp#类4#序15503
難	ldhu#类3#序26858
名前	ldhv#类4#序15518
動悸	ldhx#类4#序14149
重心	ldhx#类4#序14146
勤続	ldig#类4#序14919
難敵	ldim#类4#序14925
名主	ldin#类4#序15500
難船	ldio#类4#序14935
勤務	ldit#类4#序14966
動産	ldix#类4#序14073
名産	ldix#类4#序15513
難産	ldix#类4#序14923
難航	ldiz#类4#序14936
重体	ldje#类4#序14063
重傷	ldje#类4#序14059
難儀	ldjg#类4#序14921
名僧	ldjh#类4#序15504
勤倹	ldjj#类4#序14920
名付	ldjk#类4#序15508
名代	ldjp#类4#序15510
名人	ldjr#类4#序15502
重任	ldjt#类4#序14060
動作	ldjw#类4#序14062
名作	ldjw#类4#序15506
名優	ldjw#类4#序15509
花吐き病	ldka#类5#序22739
名流	ldkb#类4#序15557
重油	ldkd#类4#序14184
名誉	ldkh#类4#序15558
難治	ldkk#类4#序14957
重湯	ldko#类4#序14185
難民キャンプ	ldkp#类5#序24898
重水	ldks#类4#序14187
難渋	ldks#类4#序14956
動態	ldkv#类4#序14234
重態	ldkv#类4#序14235
勤労	ldkw#类4#序14955
重	ldl#类3#序20633
艱苦	ldlc#类4#序14970
重苦	ldlc#类4#序14249
艱難	ldld#类4#序14969
重荷	ldlj#类4#序14244
名菓	ldlq#类4#序15581
名著	ldlq#类4#序15582
茣蓙	ldlx#类4#序14968
重大	ldmd#类4#序14232
茹でムラ	ldmr#类5#序24899
難破	ldmr#类4#序14965
名所	ldmt#类4#序15536
難所	ldmt#类4#序14938
草野球	ldnf#类4#序15023
茹で玉子	ldnh#类5#序22740
名医	ldno#类4#序15579
名匠	ldnt#类4#序15580
勤王	ldnw#类4#序14961
重量	ldof#类4#序14174
歎息	ldoh#类4#序14932
難易	ldon#类4#序14950
難題	ldot#类4#序14951
名数	ldpb#类4#序15547
名刀	ldpd#类4#序15512
難路	ldps#类4#序14947
勤行	ldpx#类4#序14934
難行	ldpx#类4#序14933
葺	ldq#类3#序26862
重臣	ldqc#类4#序14248
千里眼	ldqi#类4#序13804
名目	ldqm#类4#序15562
動物	ldqn#类4#序14092
難物	ldqn#类4#序14930
難聴	ldqn#类4#序14967
名取	ldqr#类4#序15577
重畳	ldqw#类4#序14155
重職	ldqx#类4#序14240
重箱	ldre#类4#序14091
勲等	ldrg#类4#序14108
名答	ldrj#类4#序15522
名簿	ldrk#类4#序15526
動因	ldrm#类4#序14160
動詞	ldsa#类4#序14046
名詞	ldsa#类4#序15496
勲	ldsc#类3#序20629
名訳	ldsc#类4#序15498
重訳	ldsc#类4#序14045
動議	ldsg#类4#序14041
難詰	ldsg#类4#序14918
難読	ldsg#类4#序14917
名論	ldsj#类4#序15493
動	ldsl#类3#序20631
動力	ldsl#类4#序14153
重力	ldsl#类4#序14154
歎賞	ldso#类4#序14954
難訓	ldso#类4#序14916
名言	ldsy#类4#序15491
花吹雪	ldtb#类4#序14962
重複	ldte#类4#序14138
動向	ldtm#类4#序14097
重陽	ldto#类4#序14242
重用	ldty#类4#序14219
名工	ldug#类4#序15584
動的	ldun#类4#序14122
勤皇	ldun#类4#序14939
勲功	ldus#类4#序14247
名手	ldus#类4#序15534
名折	ldut#类4#序15535
名指	lduv#类4#序15533
動揺	lduy#类4#序14127
重要	ldvb#类4#序14114
名勝	ldvh#类4#序15571
茹で斑	ldvn#类5#序22741
名山	ldvs#类4#序15548
名文	ldvw#类4#序15492
重文	ldvw#类4#序14039
動脈	ldvx#类4#序14221
名月	ldvy#类4#序15572
名実	ldwa#类4#序15545
名案	ldwb#类4#序15541
名字	ldwh#类4#序15546
名家	ldwj#类4#序15544
名宛	ldwl#类4#序15542
重宝	ldwn#类4#序14140
勤勉	ldwp#类4#序14940
重役	ldwr#类4#序14096
重慶	ldxa#类4#序14044
重圧	ldxg#类4#序14230
重税	ldxh#类4#序14090
名乗	ldxl#类4#序15527
重度	ldxl#类4#序14050
難色	ldxm#类4#序14942
勲章	ldxn#类4#序14076
重厚	ldxo#类4#序14226
名利	ldxp#类4#序15525
難解	ldxt#类4#序14941
歎願	ldxu#类4#序14964
名称	ldxx#类4#序15524
歎称	ldxx#类4#序14931
動転	ldyb#类4#序14159
難点	ldyd#类4#序14959
動輪	ldyj#类4#序14151
名曲	ldyq#类4#序15549
難曲	ldyq#类4#序14946
重罪	ldyr#类4#序14161
重鎮	ldzn#类4#序14134
名鑑	ldzq#类4#序15540
名歌	ldzz#类4#序15531
ぇ	le#类1#序15090
ェ	le#次#序16380
而	le#类3#序26055
ぇあ	leaa#类1#序14745
ェア	leaa#次#序15989
旅装	leag#类4#序13937
施療	leam#类4#序13944
ぇば	leba#类1#序14684
ェバ	leba#次#序15928
ぇびゅ	lebc#类1#序14643
ェビュ	lebc#次#序15887
ぇべ	lebe#类1#序14681
ェベ	lebe#次#序15925
旗印	lebf#类4#序13990
ぇび	lebi#类1#序14683
ェビ	lebi#次#序15927
遊女	lebn#类4#序13927
ぇぼ	lebo#类1#序14680
ェボ	lebo#次#序15924
旒	lebo#类3#序18402
ぇぶ	lebu#类1#序14682
ェブ	lebu#次#序15926
ぇびゃ	lebv#类1#序14644
ェビャ	lebv#次#序15888
ぇびょ	lebx#类1#序14642
ェビョ	lebx#次#序15886
ぇちゅ	lecc#类1#序14667
ェチュ	lecc#次#序15911
ぇち	leci#类1#序14729
ェチ	leci#次#序15973
ぇちゃ	lecv#类1#序14668
ェチャ	lecv#次#序15912
ぇちょ	lecx#类1#序14666
ェチョ	lecx#次#序15910
ぇだ	leda#类1#序14689
ェダ	leda#次#序15933
ぇぢゅ	ledc#类1#序14646
ェヂュ	ledc#次#序15890
ぇで	lede#类1#序14686
ェデ	lede#次#序15930
ぇぢ	ledi#类1#序14688
ェヂ	ledi#次#序15932
遊吟	ledj#类4#序14030
遊民	ledm#类4#序14011
ぇど	ledo#类1#序14685
ェド	ledo#次#序15929
ぇづ	ledu#类1#序14687
ェヅ	ledu#次#序15931
ぇぢゃ	ledv#类1#序14647
ェヂャ	ledv#次#序15891
ぇぢょ	ledx#类1#序14645
ェヂョ	ledx#次#序15889
施	lee#类3#序18436
ぇえ	leee#类1#序14742
ェエ	leee#次#序15986
旗本	leef#类4#序13975
菻	leem#类3#序26701
旅枕	leew#类4#序13972
旆	lef#类3#序18423
ェファ	lefa#次#序15866
旗副	lefd#类4#序14054
ェフェ	lefe#次#序15864
ェフィ	lefi#次#序15865
ェフォ	lefo#次#序15863
施政	lefs#类4#序14057
ぇが	lega#类1#序14699
ェガ	lega#次#序15943
ぇぎゅ	legc#类1#序14652
ェギュ	legc#次#序15896
ぇげ	lege#类1#序14696
ェゲ	lege#次#序15940
遊郭	legh#类4#序13899
ぇぎ	legi#类1#序14698
ェギ	legi#次#序15942
ぇご	lego#类1#序14695
ェゴ	lego#次#序15939
蘇東坡	legr#类4#序15245
ぇぐ	legu#类1#序14697
ェグ	legu#次#序15941
ぇぎゃ	legv#类1#序14653
ェギャ	legv#次#序15897
ぇぎょ	legx#类1#序14651
ェギョ	legx#次#序15895
苹	leh#类3#序26950
菘	leh#类3#序26700
ぇは	leha#类1#序14720
ェハ	leha#次#序15964
旅情	leha#类4#序14010
ぇひゅ	lehc#类1#序14661
ェヒュ	lehc#次#序15905
ぇへ	lehe#类1#序14717
ェヘ	lehe#次#序15961
夢見心地	lehg#类4#序15175
旅券	lehh#类4#序13941
ぇひ	lehi#类1#序14719
ェヒ	lehi#次#序15963
遊子	lehi#类4#序14081
ぇほ	leho#类1#序14716
ェホ	leho#次#序15960
ぇふ	lehu#类1#序14718
ェフ	lehu#次#序15962
遊	lehu#类3#序18434
ぇひゃ	lehv#类1#序14662
ェヒャ	lehv#次#序15906
ぇひょ	lehx#类1#序14660
ェヒョ	lehx#次#序15904
ぇい	leii#类1#序14744
ェイ	leii#次#序15988
旅立	leil#类4#序13930
而立	leil#类4#序13130
施主	lein#类4#序13895
旗艦	leiq#类4#序13966
旋盤	leir#类4#序13967
ぇざ	leja#类1#序14694
ェザ	leja#次#序15938
ぇじゅ	lejc#类1#序14649
ェジュ	lejc#次#序15893
ぇぜ	leje#类1#序14691
ェゼ	leje#次#序15935
遊休	leje#类4#序13919
ぇじ	leji#类1#序14693
ェジ	leji#次#序15937
ぇぞ	lejo#类1#序14690
ェゾ	lejo#次#序15934
生欠伸	lejo#类4#序13328
旅人	lejr#类4#序13915
ぇず	leju#类1#序14692
ェズ	leju#次#序15936
ぇじゃ	lejv#类1#序14650
ェジャ	lejv#次#序15894
ぇじょ	lejx#类1#序14648
ェジョ	lejx#次#序15892
莓	lek#类3#序26662
ぇか	leka#类1#序14740
ェカ	leka#次#序15984
ぇきゅ	lekc#类1#序14673
ェキュ	lekc#次#序15917
ぇけ	leke#类1#序14737
ェケ	leke#次#序15981
ぇき	leki#类1#序14739
ェキ	leki#次#序15983
遊泳	leki#类4#序14040
ぇこ	leko#类1#序14736
ェコ	leko#次#序15980
千枚通	lekt#类4#序13127
ぇく	leku#类1#序14738
ェク	leku#次#序15982
ぇきゃ	lekv#类1#序14674
ェキャ	lekv#次#序15918
遊学	lekw#类4#序14046
ぇきょ	lekx#类1#序14672
ェキョ	lekx#次#序15916
ぇぁ	lela#类1#序14638
ェァ	lela#次#序15882
遊芸	lelb#类4#序14087
ェュ	lelc#次#序15875
蕪	lelc#类3#序26709
ぇぇ	lele#类1#序14635
ェェ	lele#次#序15879
多年生草本	lele#类4#序15222
ェー	lelg#次#序15862
ぇぃ	leli#类1#序14637
ェィ	leli#次#序15881
遊蕩	lelk#类4#序14083
ぇっ	lell#类1#序14633
ェッ	lell#次#序15877
ぇぉ	lelo#类1#序14634
ェォ	lelo#次#序15878
旌	lels#类3#序18410
族生	lels#类4#序13956
ぇぅ	lelu#类1#序14636
ェゥ	lelu#次#序15880
ェャ	lelv#次#序15876
ェョ	lelx#次#序15874
ぇま	lema#类1#序14715
ェマ	lema#次#序15959
ぇみゅ	lemc#类1#序14658
ェミュ	lemc#次#序15902
ぇめ	leme#类1#序14712
ェメ	leme#次#序15956
ぇみ	lemi#类1#序14714
ェミ	lemi#次#序15958
蕀	lemm#类3#序26966
ぇも	lemo#类1#序14711
ェモ	lemo#次#序15955
ぇむ	lemu#类1#序14713
ェム	lemu#次#序15957
ぇみゃ	lemv#类1#序14659
ェミャ	lemv#次#序15903
ぇみょ	lemx#类1#序14657
ェミョ	lemx#次#序15901
旃	lemz#类3#序18418
ぇな	lena#类1#序14725
ェナ	lena#次#序15969
ぇにゅ	lenc#类1#序14664
ェニュ	lenc#次#序15908
ぇね	lene#类1#序14722
ェネ	lene#次#序15966
ぇに	leni#类1#序14724
ェニ	leni#次#序15968
ぇん	lenn#类1#序14700
ェン	lenn#次#序15944
ぇの	leno#类1#序14721
ェノ	leno#次#序15965
ぇぬ	lenu#类1#序14723
ェヌ	lenu#次#序15967
ぇにゃ	lenv#类1#序14665
ェニャ	lenv#次#序15909
ぇにょ	lenx#类1#序14663
ェニョ	lenx#次#序15907
族	leo#类3#序18412
遊星	leol#类4#序14034
ぇお	leoo#类1#序14741
ェオ	leoo#次#序15985
旗日	leor#类4#序14036
旋風	leot#类4#序14012
ぇぱ	lepa#类1#序14679
ェパ	lepa#次#序15923
ぇぴゅ	lepc#类1#序14640
ェピュ	lepc#次#序15884
ぇぺ	lepe#类1#序14676
ェペ	lepe#次#序15920
ぇぴ	lepi#类1#序14678
ェピ	lepi#次#序15922
遊弋	lepi#类4#序14086
遊興	lepm#类4#序13924
ぇぽ	lepo#类1#序14675
ェポ	lepo#次#序15919
旅路	leps#类4#序14031
ぇぷ	lepu#类1#序14677
ェプ	lepu#次#序15921
ぇぴゃ	lepv#类1#序14641
ェピャ	lepv#次#序15885
ぇぴょ	lepx#类1#序14639
ェピョ	lepx#次#序15883
施行	lepx#类4#序13962
旅行	lepx#类4#序13965
花林糖	lepx#类4#序14656
遊行	lepx#类4#序13961
遊牧	leqh#类4#序13950
旅先	leqp#类4#序13964
遊覧	leqr#类4#序14085
旅館	leqw#类4#序13913
ぇら	lera#类1#序14710
ェラ	lera#次#序15954
ぇりゅ	lerc#类1#序14655
ェリュ	lerc#次#序15899
旋回	lerd#类4#序14020
ぇれ	lere#类1#序14707
ェレ	lere#次#序15951
施策	lere#类4#序13957
旗竿	lere#类4#序13960
ぇり	leri#类1#序14709
ェリ	leri#次#序15953
ぇろ	lero#类1#序14706
ェロ	lero#次#序15950
旅籠	lert#类4#序13947
ぇる	leru#类1#序14708
ェル	leru#次#序15952
ぇりゃ	lerv#类1#序14656
ェリャ	lerv#次#序15900
ぇりょ	lerx#类1#序14654
ェリョ	lerx#次#序15898
旗幟	lerx#类4#序14015
ぇさ	lesa#类1#序14735
ェサ	lesa#次#序15979
ぇしゅ	lesc#类1#序14670
ェシュ	lesc#次#序15914
ぇせ	lese#类1#序14732
ェセ	lese#次#序15976
遊説	lesh#类4#序13888
ぇし	lesi#类1#序14734
ェシ	lesi#次#序15978
ぇそ	leso#类1#序14731
ェソ	leso#次#序15975
施設	lesr#类4#序13891
ぇす	lesu#类1#序14733
ェス	lesu#次#序15977
名無し指	lesu#类5#序22742
ぇしゃ	lesv#类1#序14671
ェシャ	lesv#次#序15915
ぇしょ	lesx#类1#序14669
ェショ	lesx#次#序15913
旅	let#类3#序18431
旋	let#类3#序18417
ぇた	leta#类1#序14730
ェタ	leta#次#序15974
萌え袖	letd#类5#序22743
ぇて	lete#类1#序14727
ェテ	lete#次#序15971
生え際	leth#类5#序22744
旅衣	leti#类4#序13896
ぇと	leto#类1#序14726
ェト	leto#次#序15970
旅費	leto#类4#序13907
旛	letq#类3#序18409
ぇつ	letu#类1#序14728
ェツ	letu#次#序15972
膂	letv#类3#序18430
草相撲	leuc#类4#序14654
遊技	leuc#类4#序13984
施工	leug#类4#序14091
旗揚	leuo#类4#序13981
旗手	leus#类4#序13978
ぇう	leuu#类1#序14743
ェウ	leuu#次#序15987
ェヴァ	leva#次#序15872
ェヴェ	leve#次#序15870
ェヴィ	levi#次#序15871
萌え豚	levj#类5#序22745
歯槽膿漏	levk#类4#序13757
施肥	levm#类4#序14071
旄	levm#类3#序18408
旋毛	levm#类4#序13959
ェヴォ	levo#次#序15869
遊山	levs#类4#序14014
ェヴ	levu#次#序15873
ぇわ	lewa#类1#序14702
ェワ	lewa#次#序15946
旅寝	lewa#类4#序13996
旋律	lewb#类4#序13946
ェウェ	lewe#次#序15867
ェウィ	lewi#次#序15868
旅宿	lewj#类4#序13995
若年寄	lewm#类4#序14670
ぇを	lewo#类1#序14701
ェヲ	lewo#次#序15945
旅客	lews#类4#序13997
遊軍	lewy#类4#序13999
旅愁	lexc#类4#序13953
旅程	lexd#类4#序13955
遊廓	lexg#类4#序13885
